Area,Ano,Acanthodoras_spinosissimus,Acarichthys_heckelii,Acaronia_nassa,Acestrorhynchus_falcirostris,Acestrorhynchus_microlepis,Ageneiosus_cf._vittatus,Ageneiosus_dentatus,Ageneiosus_inermis,Ageneiosus_ucayalensis,Agoniates_halecinus,Amblydoras_affinis,Anadoras_weddellii,Anodus_elongatus,Anostomoides_laticeps,Argonectes_longiceps,Astrodoras_asterifrons,Auchenipterichthys_longimanus,Auchenipterus_nuchalis,Auchenipterus_osteomystax,Batrochoglanis_villosus,Biotodoma_cupido,Boulengerella_cuvieri,Boulengerella_lucius,Boulengerella_maculata,Brachyplatystoma_capapretum,Brycon_amazonicus,Bryconops_alburnoides,Caenotropus_labyrinthicus,Calophysus_macropterus,Catoprion_mento,Chalceus_epakros,Chalceus_spilogyros,Charax_gibbosus,Cichla_monoculus,Cichla_vazzoleri,Crenicichla_macrophthalma,Crenicichla_marmorata,Curimata_knerii,Curimata_ocellata,Curimata_roseni,Curimata_vittata,Curimatella_meyeri,Cynodon_gibbus,Cyphocharax_abramoides,Cyphocharax_festivus,Cyphocharax_nigripinnis,Dekeyseria_amazonica,Eigenmannia_virescens,Geophagus_altifrons,Goeldiella_eques,Gymnotus_carapo,Harttia_trombetensis,Hassar_orestis,Hemiodus_argenteus,Hemiodus_immaculatus,Hemiodus_unimaculatus,Heros_efasciatus,Hoplias_malabaricus,Hoplosternum_littorale,Hydrolycus_armatus,Hydrolycus_tatauaia,Hypophthalmus_edentatus,Hypophthalmus_fimbriatus,Hypophthalmus_marginatus,Hypoptopoma_elongatum,Hypostomus_carinatus,Ilisha_amazonica,Jurengraulis_juruensis,Laemolyta_proxima,Laemolyta_taeniata,Leiarius_marmoratus,Leporinus_agassizii,Leporinus_fasciatus,Leporinus_friderici,Loricariichthys_acutus,Loricariichthys_nudirostris,Lycengraulis_batesii,Lycengraulis_figueiredoi,Megalechis_picta,Megalodoras_uranoscopus,Mesonauta_festivus,Metynnis_argenteus,Metynnis_hypsauchen,Metynnis_maculatus,Micromischodus_sugillatus,Moenkhausia_copei,Myloplus_asterias,Myloplus_lobatus,Ossancora_asterophysa,Osteoglossum_bicirrhosum,Pachypops_fourcroi,Pachypops_trifilis,Peckoltia_braueri,Pellona_castelnaeana,Pellona_flavipinnis,Pimelodella_cristata,Pimelodus_albofasciatus,Pimelodus_ornatus,Pinirampus_pirinampu,Plagioscion_montei,Plagioscion_squamosissimus,Platynematichthys_notatus,Platystomatichthys_sturio,Poptella_compressa,Potamorhina_latior,Pristigaster_cayana,Pristobrycon_striolatus,Prochilodus_nigricans,Pseudanos_gracilis,Pseudoloricaria_laeviuscula,Pseudoplatystoma_punctifer,Pterodoras_granulosus,Pterygoplichthys_gibbiceps,Pygocentrus_nattereri,Pygopristis_denticulata,Reganella_depressa,Rhamphichthys_marmoratus,Rhamphichthys_rostratus,Rhaphiodon_vulpinus,Rineloricaria_formosa,Satanoperca_acuticeps,Satanoperca_jurupari,Satanoperca_lilith,Scorpiodoras_heckelli,Semaprochilodus_insignis,Semaprochilodus_taeniurus,Serrasalmus_altispinnis,Serrasalmus_eigenmanni,Serrasalmus_elongatus,Serrasalmus_gouldingi,Serrasalmus_manueli,Serrasalmus_rhombeus,Sorubim_lima,Steatogenys_elegans,Tatia_nigra,Tenellus_ternetzi,Tenellus_trimaculatus,Tetragonopterus_argenteus,Tetranematichthys_wallacei,Trachelyopterichthys_taeniatus,Trachelyopterus_coriaceus,Trachycorystes_trachycorystes,Trachydoras_brevis,Trachydoras_steindachneri,Triportheus_albus,Triportheus_auritus,Triportheus_rotundatus,Uaru_amphiacanthoides
Natural,2015,,,,,2,,,,2,1,,,,,,,36,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Natural,2016,,,,1,,2,,,6,2,,,,,,3,71,,,,,,,,,,2,,2,,,,,,,1,,,1,,6,,1,,1,,,,,,,,66,,,1,,,,,,,1,4,,,,,3,,,,1,,,1,,,,,,,,,1,,,,,,,8,1,,4,1,,,1,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,2,1,,
Natural,2017,,1,,2,,1,,,2,2,,,,,,,27,,,,,,,,,,,,1,,,,,,,,,,,16,,,,2,1,,,,,,,,2,6,,,,,,,,,,,,,11,,,,,,2,,4,,,,,,,,,,,,,1,2,,5,6,,,4,,,1,,,6,,2,2,,2,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,
Natural,2018,,,,,3,,,,1,,,,,,,,12,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,24,,8,2,,,,1,,,,,,,15,,,,,,2,,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,4,,,,,,,,,,,,,
Natural,2019,,,,2,1,,,,10,2,,,,,,,31,1,,,,,,,,,4,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2,,3,,,,,,,1,,2,,9,,6,,,,2,,3,2,,,,,,,,,,,,,1,,,,1,,,1,,,1,1,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,42,2,,
Natural,2021,,,,,1,,,1,2,,,,,1,3,,28,,,,,,,,,,14,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,5,,,1,,,,,,,,,2,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,7,,,,,,,,,,1,,
Natural,2022,,,,,,,,,1,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,
Plantio,2012,,,,,,,,,1,12,,,,,1,,8,,,,,,3,,,,4,,,,,,,,,,,1,,,,,,3,,,,,,,,,,18,40,5,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Plantio,2013,,,,5,3,,,,,,,,,,3,1,20,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,7,,,,,,,,,23,22,6,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,9,4,,,,,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Plantio,2014,,,,1,9,,,,,,,,,,2,6,25,,,,,,2,,,,,,,,,1,,,2,,,,11,,4,,,1,,,,,3,1,,,6,29,2,11,,1,,1,,2,,3,1,,1,1,,2,,,4,,,,,,,,,1,,,,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,2015,,2,,,,,,,,,,,,,1,1,9,,,,,,,,,,1,,,2,,,,,1,,,3,20,,,,,11,,,,,8,,,,,28,,8,,1,,,,,,,,1,,,,2,,1,1,,,,12,,,,,,,,9,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Plantio,2016,,,,,2,,,,,11,,,,,,4,21,,,,,2,2,,,,4,,,,,,,,,,,,6,,21,,,3,,,,,1,,,,2,14,,9,,,,,,,,,,,,2,3,,,,3,,,,,,,,,,,2,,,,43,,,,,,1,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,4,,,
Plantio,2017,,,,,2,3,,,2,8,,,,,,1,33,,,,,,3,3,,,1,,2,,,,,,,,,,2,,2,,,1,,,,,,,,,1,1,5,18,,,,,,,,1,3,,,,,1,,,2,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
Plantio,2018,,,,7,5,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,2,,,,1,,3,,,25,,,,,4,,,,,28,21,18,,2,,,,,,2,,,,,,4,,,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Plantio,2019,,,,,2,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,10,,,,,3,,,,,,,,,,30,6,4,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,,,
Plantio,2021,,,,,,,,,3,1,5,,,1,1,2,10,,,,,,,,,,2,,,,,,,,,,,1,8,2,1,,1,,,,,,1,,,,,,18,2,,,,,,,,3,,,,1,,3,,,,,,,1,,,,,,,,2,,,,3,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,
Plantio,2022,,,1,,,2,,,,5,6,,,,8,7,4,,,,,,5,,,,,,,,,,,,,,,2,6,,1,,1,,,,,,,,,,1,3,52,2,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,1,,,,4,,,,,,4,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,
Rejeito,1991,,,,1,3,2,,1,,,,,1,,1,2,285,,,,,,6,,1,,5,1,,,1,,1,,,,,,,1,11,,,,,,,,,,,,,10,11,37,,1,,3,1,,,1,,,1,,,6,,,8,,,,3,,1,,,,,,,,,1,,1,,,1,7,3,2,,,,1,5,3,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,,2,,,,,,,,,,1,,,4,2,,
Rejeito,1992,,,,3,2,,,24,,,,,1,,3,3,77,5,,,,,,2,1,,,3,,,,,,1,1,,,,4,27,44,1,,2,,,,,5,,,,4,11,,,,,,,,11,,22,,,,,,2,1,,19,1,1,1,1,,,,,,2,,3,,,7,2,,,1,,23,5,4,2,,7,2,16,5,,,3,,,,,,,,,,,,,,3,,,,,2,,,,3,,2,,4,,,,,,,,,,,,3,17,,2,
Rejeito,1993,,,,1,1,,,,,,,,1,,,19,93,82,1,,,,,1,,,1,4,,,,,,,,,,,,1,13,,,,,,,,,,,,5,2,,,,,,,,,2,12,,1,,,,3,,,3,,,,1,,,,,,1,,,,,,,,,,,6,,,,,,5,10,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,31,,,
Rejeito,1998,,2,,7,,,,1,,,,,,,,1,73,12,,,,3,1,,,,,,,,,,,2,2,,,15,,,,,1,,,,,,13,,,,3,14,,2,,,,6,,1,,2,,,1,,,2,,,4,,,,,,,,2,,1,,,,,28,,1,,,,6,3,,1,,9,,24,14,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,12,1,,,,,,,,,1,,,1,,,
Rejeito,1999,,,,,8,1,,,,,,,,,,14,20,,,,,1,,6,,,,1,,3,,,,,3,,,,6,2,,,,15,1,,,,3,,,1,,135,5,15,,1,,,1,,,9,,,16,1,,,,,2,,,,,,,,,,1,,,,1,,2,1,,,,1,,,,,2,,46,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,1,,,1,2,,,,9,,,
Rejeito,2000,2,,,1,24,,,1,,,,,,,,8,26,,,,,2,,,,,,,,,,,,,,,,,9,1,,,,2,,,,,,,,,,10,1,11,,2,,3,,,,2,,,,,,8,,,4,,,,,,,,,,,,1,,,4,,1,,,,,,2,2,,2,,6,,,,,,,,,,1,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,
Rejeito,2001,,,,2,38,,,,2,,,,,,2,6,61,,,,1,,23,1,,,3,9,,,,,,,39,,,,4,2,38,,,,,,,,4,,,,,30,3,15,,1,,,,27,,10,3,,,1,,2,,,6,,1,,26,7,,,,,,,,,,,,,,1,,1,,3,,,1,7,4,1,,,,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,1,2,,1,1,4,,,,,,4,,52,,6,
Rejeito,2002,,,,2,23,,,,6,15,,,,,,10,70,6,,,1,,13,1,,,,3,,1,,,2,,,,,,,28,64,,,3,1,,,,2,,,,1,1,,5,,,,2,,,,6,7,,,,,1,,,,,3,,3,,,,,,1,,,,,,,,,,,1,2,4,2,,,10,3,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,8,,,1,,,4,,25,,6,
