Area;Ano;Acanthodoras_spinosissimus;Acarichthys_heckelii;Acaronia_nassa;Acestrorhynchus_falcirostris;Acestrorhynchus_microlepis;Ageneiosus_cf._vittatus;Ageneiosus_dentatus;Ageneiosus_inermis;Ageneiosus_ucayalensis;Agoniates_halecinus;Amblydoras_affinis;Anadoras_weddellii;Anodus_elongatus;Anostomoides_laticeps;Argonectes_longiceps;Astrodoras_asterifrons;Auchenipterichthys_longimanus;Auchenipterus_nuchalis;Auchenipterus_osteomystax;Batrochoglanis_villosus;Biotodoma_cupido;Boulengerella_cuvieri;Boulengerella_lucius;Boulengerella_maculata;Brachyplatystoma_capapretum;Brycon_amazonicus;Bryconops_alburnoides;Caenotropus_labyrinthicus;Calophysus_macropterus;Catoprion_mento;Chalceus_epakros;Chalceus_spilogyros;Charax_gibbosus;Cichla_monoculus;Cichla_vazzoleri;Crenicichla_macrophthalma;Crenicichla_marmorata;Curimata_knerii;Curimata_ocellata;Curimata_roseni;Curimata_vittata;Curimatella_meyeri;Cynodon_gibbus;Cyphocharax_abramoides;Cyphocharax_festivus;Cyphocharax_nigripinnis;Dekeyseria_amazonica;Eigenmannia_virescens;Geophagus_altifrons;Goeldiella_eques;Gymnotus_carapo;Harttia_trombetensis;Hassar_orestis;Hemiodus_argenteus;Hemiodus_immaculatus;Hemiodus_unimaculatus;Heros_efasciatus;Hoplias_malabaricus;Hoplosternum_littorale;Hydrolycus_armatus;Hydrolycus_tatauaia;Hypophthalmus_edentatus;Hypophthalmus_fimbriatus;Hypophthalmus_marginatus;Hypoptopoma_elongatum;Hypostomus_carinatus;Ilisha_amazonica;Jurengraulis_juruensis;Laemolyta_proxima;Laemolyta_taeniata;Leiarius_marmoratus;Leporinus_agassizii;Leporinus_fasciatus;Leporinus_friderici;Loricariichthys_acutus;Loricariichthys_nudirostris;Lycengraulis_batesii;Lycengraulis_figueiredoi;Megalechis_picta;Megalodoras_uranoscopus;Mesonauta_festivus;Metynnis_argenteus;Metynnis_hypsauchen;Metynnis_maculatus;Micromischodus_sugillatus;Moenkhausia_copei;Myloplus_asterias;Myloplus_lobatus;Ossancora_asterophysa;Osteoglossum_bicirrhosum;Pachypops_fourcroi;Pachypops_trifilis;Peckoltia_braueri;Pellona_castelnaeana;Pellona_flavipinnis;Pimelodella_cristata;Pimelodus_albofasciatus;Pimelodus_ornatus;Pinirampus_pirinampu;Plagioscion_montei;Plagioscion_squamosissimus;Platynematichthys_notatus;Platystomatichthys_sturio;Poptella_compressa;Potamorhina_latior;Pristigaster_cayana;Pristobrycon_striolatus;Prochilodus_nigricans;Pseudanos_gracilis;Pseudoloricaria_laeviuscula;Pseudoplatystoma_punctifer;Pterodoras_granulosus;Pterygoplichthys_gibbiceps;Pygocentrus_nattereri;Pygopristis_denticulata;Reganella_depressa;Rhamphichthys_marmoratus;Rhamphichthys_rostratus;Rhaphiodon_vulpinus;Rineloricaria_formosa;Satanoperca_acuticeps;Satanoperca_jurupari;Satanoperca_lilith;Scorpiodoras_heckelli;Semaprochilodus_insignis;Semaprochilodus_taeniurus;Serrasalmus_altispinnis;Serrasalmus_eigenmanni;Serrasalmus_elongatus;Serrasalmus_gouldingi;Serrasalmus_manueli;Serrasalmus_rhombeus;Sorubim_lima;Steatogenys_elegans;Tatia_nigra;Tenellus_ternetzi;Tenellus_trimaculatus;Tetragonopterus_argenteus;Tetranematichthys_wallacei;Trachelyopterichthys_taeniatus;Trachelyopterus_coriaceus;Trachycorystes_trachycorystes;Trachydoras_brevis;Trachydoras_steindachneri;Triportheus_albus;Triportheus_auritus;Triportheus_rotundatus;Uaru_amphiacanthoides
Natural;2005;0;0;0;0.072725883;0.072725883;0.072725883;0;0;0;1.090888243;0;0;0;0;0.218177649;0.799984711;1.454517657;0.145451766;0;0;0;0;0;0;0;0;2.254502368;0;0;0;0;0;0;0;0.581807063;0;0;0;0.290903531;0.218177649;0.50908118;0;0;0.072725883;0.072725883;0;0;0;0.072725883;0;0;0;0.072725883;0.218177649;0.872710594;0.218177649;0;0;0;0;0;0;0;0.581807063;0.290903531;0;0.072725883;0;0;0.218177649;0;0;0.50908118;0;0.145451766;0;0.145451766;0;0;0;0;0;0;0;0.290903531;0;0;0.072725883;0;0;0;0.218177649;0;0;0;0.072725883;0;0;0.290903531;0.218177649;0.145451766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072725883;0;0;0.072725883;0;0;0;0.072725883;0.145451766;0;0;0;0;0;0;0;0;0.290903531;0;0;0
Natural;2006;0;0;0;0.083556681;0;0;0;0;0.334226724;0;0;0;0;0;0.584896767;0.083556681;2.590257112;0;0;0;0;0;0.083556681;0;0;0.083556681;0.501340086;0;0;0.083556681;0;0.334226724;0;0;0.083556681;0;0;0;0.167113362;0;1.086236853;0;0;0;0;0;0;0;0;0;0;0;0.083556681;0;0.334226724;0;0;0;0;0;0;0;0;0.250670043;0;0;0;0;0;0.417783405;0;0;0.334226724;0;0.167113362;0;0;0;0;0;0;0;0.083556681;0;0.668453448;0;0;0;0.167113362;0;0;0;0;0.083556681;0.083556681;0;0;0;0;0;0.334226724;0;0;0;0;0;0;0;0;0;0;0;0;0.083556681;0;0;0;0;0;0.083556681;0;0;0;0;0;0;0;0;0;0.167113362;0;0.083556681;0;0;0.167113362;0;0;0;0;0;0;0;0;0;0.250670043;0.083556681;0;0
Natural;2007;0;0;0;0.215421608;0.215421608;0;0;0;0;0.107710804;0;0;0;0;0;0.215421608;2.908191705;0;0;0;0;0;0.430843216;0.215421608;0;0;0.323132412;0;0;0;0;0.107710804;0;0;0.215421608;0;0;0;0.107710804;0;0.646264823;0;0;0.107710804;0;0;0;0;0.215421608;0;0;0;0;3.015902509;14.00240451;2.47734849;0;0;0;0.107710804;0;0.430843216;0;0;0;0;0;0;0;0.107710804;0;0;0.215421608;0;0;0;0;0;0;0;0;0;0.107710804;0;1.507951255;0;0;0;0;0;0;0;0;0.107710804;0.107710804;0;0;0;0.107710804;0;0.53855402;0.107710804;0;0;0;0;0;0.107710804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.107710804;0;0;0;0;0;0.215421608;0;0;0.107710804;0;0;0;0;0;0;0;0;0;0.323132412;0;0;0
Natural;2008;0;0;0;0.102174117;0.204348234;0.102174117;0;0.102174117;0.510870584;0;0;0;0;0;0.408696468;0.306522351;7.458710532;0.102174117;0;0;0;0.102174117;0.715218818;0.102174117;0;0;0.715218818;0;0.102174117;0;0;0;0;0;0.102174117;0;0;0;0.817392935;0.204348234;4.291312909;0;0;0.102174117;0.306522351;0;0;0;0.102174117;0;0;0;0.204348234;0.715218818;2.145656455;0.306522351;0;0.102174117;0;0.306522351;0;0;0;0.102174117;0.102174117;0;0;0;0.102174117;0.102174117;0;0;0.408696468;0;0.408696468;0;1.430437636;0;0.102174117;0;0;0;0.102174117;0;0;0;0;0;0;0.204348234;0.102174117;0;0;0.510870584;0.715218818;0.204348234;0;0;0.102174117;1.63478587;4.59783526;0.408696468;0;0;0;0;0;0;0;0;0.102174117;0;0;0;0;0;0;0;0;0;0.102174117;0;0.102174117;0;0;0;0;0.306522351;0;0;0;0;0;0;0.102174117;0.408696468;0.510870584;0;0;0;0;0;0;0.102174117;0.919567052;0;0;0
Natural;2009;0;0;0;0;0.10926224;0.10926224;0;0;1.092622396;0;0;0;0;0;0.10926224;0;3.387129429;0.218524479;0;0;0;0;0;0;0;0;0.10926224;0;0;0;0;0.10926224;0;0.10926224;0;0;0.10926224;0;0;0.10926224;0.218524479;0;0;0;0;0;0;0;0.10926224;0;0;0;0.218524479;0;0.327786719;0;0;0.10926224;0;0.10926224;0;0.10926224;0.218524479;0;0.10926224;0;0.327786719;0;0;0;0;0;0.10926224;0;0;0.10926224;0.10926224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.218524479;0.218524479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10926224;0;0.10926224;0;0;0.10926224;0;0.10926224;0;0;0;0.10926224;0;0;0;2.622293751;0;0;0
Natural;2010;0;0;0.091813866;0;0.275441599;0;0;0;0.275441599;0;0;0;0;0;0.183627733;0.091813866;9.824083714;0.183627733;0;0;0;0;0;0.183627733;0;0;0.367255466;0;0;0;0.183627733;0;0;0.091813866;0;0;0;0;0;0;0.091813866;0;0.183627733;0;0;0;0;0.091813866;0;0;0;0;0;0.367255466;0.826324798;0.642697065;0;0.091813866;0;0;0;0;0;0;0.183627733;0.183627733;0.091813866;0;0.091813866;0;0.091813866;0;0.367255466;0.091813866;0;0;0.918138665;0;0;0;0.091813866;0;0;0;0;0;0;0.183627733;0;0;0.183627733;0;0;0;0;0;0;0;0;0;0.367255466;0;0;0;0;0;0.275441599;0;0;0;0;0;0;0;0;0;0;0.091813866;0;0;0;0.091813866;0;0;0;0;0;0;0;0.091813866;0.183627733;0.091813866;0;0.091813866;0.183627733;0;0;0.183627733;0;0;0;0;0;0.459069332;0;0;0;0.091813866
Natural;2011;0;0;0;0.821062485;0;0.18245833;0;0;0;0;0;0;0.091229165;0;0;0.091229165;4.287770753;1.642124969;0;0;0;0;0;0;0;0;0;0.091229165;0;0;0;0;0;0;0.091229165;0.18245833;0;0.273687495;0;0.091229165;5.838666557;0;0;0;0;0;0;0;0.273687495;0;0;0;0.091229165;1.642124969;0.273687495;0.638604155;0;0.091229165;0;0.36491666;0;0;0;0.91229165;0;0;0;0;0;0.54737499;0;0;0.273687495;0;0.456145825;0;0.091229165;0;0.091229165;0;0;0;0;0;0.18245833;0;0;0;0;0;0;0;0;0;0.091229165;0.273687495;0;0;0;0.18245833;0.36491666;0;0;0;0;0;0;0;0;0;0.18245833;0;0;0;0.091229165;0;0;0;0;0;0;0;0;0;0;0.091229165;0;0.091229165;0;0.18245833;0.91229165;0.091229165;0.091229165;0;0;0;0;0;0.18245833;0.18245833;0;0;0;0;0;0;0;0
Natural;2012;0;0;0;0;0.181580114;0;0;0;0.181580114;2.542121593;0;0;0;0;0.181580114;0.726320455;4.176342617;0;0;0;0;0.726320455;0;0;0;0;4.176342617;0;0;0;0;0;0;0;0;0;0;0;1.089480683;0;0;0;0;0;0;0;0;0;1.271060796;0;0;0;1.271060796;2.360541479;15.7974699;2.542121593;0;0;0;0;0;0;0;0.363160228;0;0;0;0;0.181580114;0.181580114;0;0;0.181580114;0;0;0;0.363160228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.181580114;0;0.544740341;0;0;0;0.181580114;0;0;0;0.181580114;0;0;0;0;0;0;0;0;0;0;0;0.181580114;0;0;0;0.181580114;0;0;0;0;0;0;0.181580114;0;0;0.907900569;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural;2013;0;0;0;0.327679427;2.949114842;0;0;0;0.327679427;0;0;0;0;0.163839713;1.146877994;0;6.881267965;0;0;0;0;0;0;0;0;0.163839713;1.638397134;0.983038281;0;0.163839713;0;0.163839713;0;0;0.163839713;0.163839713;0;0;0;1.638397134;1.474557421;0;0;0;6.881267965;0;0;0;0;0;0;0;0;0.819198567;0.655358854;0.49151914;0;0;0;0.163839713;0;0;0;0;0.327679427;0;0.327679427;0;0.819198567;0.983038281;0;0.327679427;0.655358854;0;0.655358854;0;0;0;0;0;0;0;0;0;1.146877994;0;0;0.163839713;0;0;0;0;0.163839713;0;0;0.327679427;0;0;0.49151914;0.163839713;0.983038281;0;0;0;0;0;0.327679427;0;0;0;0;0;0;0;0;0;0;0;0.163839713;0;0;0;0.163839713;0;0;0;0;0;0;0.163839713;0;0;0;0;0;0;0;0;0;0;0;0;0;1.146877994;0.49151914;0;0;0
Natural;2014;0;0;0;0;0;0;0.612462159;0;0;0.204154053;0;0;0.204154053;0;0.612462159;0;9.595240486;0;0;0.204154053;0;0;0;0;0;0;0.612462159;0;0;0;0;0;0;0;0;0;0;0;0;0;0.816616212;0;0;0;0;0;0;0;0.816616212;0;0;0;0;0.408308106;1.633232423;0.816616212;0;0;0;0;0;0;0;0;0;0;1.224924317;0;0.204154053;0.204154053;0;0;0.408308106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.408308106;0;0;0;0;0;0.204154053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
